date,platform,title,company,url,status,score,notes
2026-09-09T11:41:49,instahyre,Staff ML Engineer - Biometrics,Jumio,https://www.instahyre.com/job-436434-staff-ml-engineer-biometrics-at-jumio-work-from-home/,skipped_low_fit,25.0,"low_fit: title+30; skills+10:python,docker; remote+15; seniority_mismatch-30"
2026-09-09T11:41:49,remote_co,"Director, Data Scientist",Not disclosed (Remote.co login wall),https://remote.co/job-details/director-data-scientist-f3ab328a-0979-4279-96b7-a3c0b630d0f0,skipped_low_fit,35.0,"low_fit: title+30; skills+10:python,sql; remote+15; seniority_mismatch-30; salary+10"
2026-09-09T11:41:49,remote_co,"Senior Scientist, Tech - Science",Uber,https://remote.co/job-details/senior-scientist-tech-science-98ce4aab-90c2-41cf-b2a5-bb2c96cb7561,skipped_low_fit,45.0,"low_fit: skills+10:python,machine learning; remote+15; seniority_senior_ok+10; salary+10"
2026-09-09T11:41:49,protocol_jobs,AI Operations Engineer,OpenZeppelin,https://web3.career/ai-operations-engineer-openzeppelin/153882,skipped_low_fit,35.0,low_fit: remote+15; seniority+10; salary+10
2026-09-09T11:41:49,protocol_jobs,Principal AI Engineer Chatbot Development,OKX,https://web3.career/principal-ai-engineer-chatbot-development-okx/146426,skipped_low_fit,30.0,low_fit: title+30; skills+5:python; remote+15; seniority_mismatch-30; salary+10
2026-09-09T11:41:49,protocol_jobs,Principal AI Engineer AI Agent Development,OKX,https://web3.career/principal-ai-engineer-ai-agent-development-okx/146425,skipped_low_fit,30.0,low_fit: title+30; skills+5:python; remote+15; seniority_mismatch-30; salary+10
2026-09-09T11:41:49,protocol_jobs,Senior Software Engineer: Social AI MetaMask,Consensys,https://web3.career/senior-software-engineer-social-ai-metamask-consensys/153555,skipped_low_fit,40.0,low_fit: skills+5:python; remote+15; seniority_senior_ok+10; salary+10
2026-09-09T11:41:49,protocol_jobs,AI Security Researcher Research Engineer,Brave,https://web3.career/ai-security-researcher-research-engineer-brave/153518,skipped_low_fit,40.0,low_fit: skills+5:python; remote+15; seniority+10; salary+10
2026-09-09T11:44:59,ziprecruiter,login,ziprecruiter,https://www.ziprecruiter.com/login,needs_user_action,,Email OTP required; unattended run cannot complete verification. All 6 queued ZipRecruiter applies skipped until login works.
2026-09-09T12:02:24,instahyre,AI Engineer,Telomere Consulting,https://www.instahyre.com/job-419496-ai-engineer-at-telomere-consulting-work-from-home/,applied,85.0,Applied via 1-click on Instahyre. Application sent successfully.
2026-09-09T12:04:17,instahyre,Senior Data Scientist,FourKites,https://www.instahyre.com/job-440113-senior-data-scientist-at-fourkites-chennai-work-from-home/,applied,85.0,Applied via 1-click on Instahyre.
2026-09-09T12:05:57,instahyre,Machine Learning Engineer - Computer Vision,Jumio,https://www.instahyre.com/job-441998-machine-learning-engineer-computer-vision-at-jumio-work-from-home/,applied,75.0,Applied via 1-click on Instahyre.
2026-09-09T12:07:29,instahyre,AI Engineer,Nablon AI,https://www.instahyre.com/job-433792-ai-engineer-at-nablon-ai-work-from-home/,applied,75.0,1-click apply successful
2026-09-09T12:11:56,remote_co,Data Scientist,Not disclosed (Remote.co login wall),https://remote.co/job-details/data-scientist-5cb84888-c367-4277-b6e4-ffcb9544d4ce,skipped_low_fit,75.0,US hybrid (San Antonio/Plano/Phoenix/etc) — hybrid only allowed in Gurugram/Noida/Delhi
